pclass,sex,age,sibsp,parch,fare,embarked,survived
2,female,61.0,0,1,51.85,S,1
3,female,20.9,1,1,26.64,S,0
3,male,40.5,0,0,31.5,S,0
3,female,,0,0,86.16,S,0
1,male,48.6,0,0,117.11,S,1
1,male,52.3,0,2,72.34,Q,0
1,female,30.2,0,0,80.23,C,1
3,male,18.8,0,1,68.26,S,0
3,male,,0,0,25.11,S,0
3,male,19.9,0,0,54.96,Q,0
1,male,58.9,0,0,118.35,S,0
3,male,31.7,0,0,26.72,S,0
3,male,24.4,1,1,28.17,S,0
1,male,,0,1,123.28,C,1
1,female,,0,1,78.88,S,1
1,female,15.6,0,0,65.26,S,1
2,male,47.1,1,0,50.36,C,0
3,male,20.2,0,0,35.76,C,0
2,male,14.5,0,0,66.25,Q,0
2,male,37.5,1,0,68.78,S,0
3,male,46.9,1,0,121.95,S,0
1,male,40.1,0,0,71.1,C,0
2,male,44.1,0,2,58.91,C,0
2,male,,1,0,58.72,S,0
3,male,9.1,4,0,34.37,S,0
3,male,,1,0,28.34,C,0
1,female,25.0,0,0,133.26,C,1
3,female,26.1,0,0,59.55,S,0
3,male,49.0,0,2,37.42,S,0
1,female,37.8,1,1,81.64,S,1
3,male,36.3,0,2,29.64,S,0
1,female,61.1,0,2,79.13,S,0
1,female,20.4,1,0,86.37,S,1
3,male,,0,0,38.03,S,0
3,male,30.5,1,0,108.41,S,0
3,male,33.6,0,0,42.01,S,0
2,male,,0,0,53.34,C,0
1,male,37.1,0,0,91.62,S,0
3,male,37.5,1,0,28.36,S,0
2,male,45.3,0,0,53.74,C,0
1,female,24.4,0,0,72.67,S,0
3,female,,3,0,35.18,Q,1
1,male,14.6,0,0,92.4,C,0
3,male,1.2,0,0,36.92,S,0
2,male,59.5,0,0,73.44,Q,0
3,male,13.7,0,0,40.47,S,0
2,female,26.5,0,0,52.54,S,1
3,male,25.7,0,0,54.89,S,0
3,male,34.2,0,1,29.9,S,0
1,male,41.5,0,0,69.57,Q,0
3,male,,0,0,37.64,S,0
3,female,21.2,0,0,30.44,S,0
3,female,,0,0,25.16,S,1
3,male,33.8,0,1,43.81,S,0
3,male,26.1,0,0,37.88,S,0
3,male,53.0,0,0,35.61,S,0
1,female,36.8,0,0,126.39,C,1
1,female,,1,0,80.24,S,1
1,male,39.3,0,0,100.84,C,0
2,male,46.7,2,0,47.7,S,0
2,female,32.3,3,0,60.16,C,0
2,male,10.9,0,0,81.45,S,1
3,female,35.5,0,0,40.75,S,0
2,male,20.3,0,0,67.79,S,0
2,male,22.0,1,0,53.38,C,0
3,male,,0,0,26.75,S,0
1,male,,0,0,76.02,Q,0
3,male,30.0,0,0,34.03,S,0
1,female,34.2,1,0,101.32,S,1
3,male,54.4,1,2,30.03,S,0
3,male,33.2,0,0,86.26,Q,0
1,male,67.4,0,0,122.12,S,1
1,male,37.9,0,0,70.12,C,0
3,male,4.2,0,0,32.7,C,0
3,male,40.6,1,0,65.66,S,0
3,female,35.2,0,0,86.2,S,0
3,male,48.4,0,0,35.55,C,0
1,male,39.5,0,2,71.97,S,0
2,male,27.7,1,0,58.44,C,0
1,female,,1,0,85.95,S,1
3,female,26.7,0,1,30.75,S,1
3,female,17.4,1,0,49.0,C,0
2,male,21.3,0,2,45.95,S,0
1,male,38.2,0,0,65.91,S,1
2,male,53.9,0,1,53.79,S,0
2,male,35.4,0,0,52.85,S,0
3,male,12.4,0,0,31.83,S,0
3,male,36.1,2,2,37.16,C,0
3,male,47.1,0,0,31.96,S,0
3,male,,0,0,28.84,S,0
1,female,27.8,0,0,71.67,S,1
3,male,29.9,0,0,91.33,S,0
3,male,18.3,1,0,34.53,S,0
3,female,39.1,0,0,35.59,Q,1
3,male,27.9,0,0,40.47,C,0
3,female,35.8,1,0,98.71,S,1
3,male,16.8,0,0,29.98,S,0
2,male,23.4,0,0,65.58,S,0
1,female,,0,0,87.66,S,1
1,female,24.3,0,0,81.83,S,1
1,female,54.7,4,0,66.67,S,1
3,male,23.9,1,0,45.33,S,0
2,male,33.0,0,0,46.19,S,0
3,male,43.2,1,0,41.32,S,0
3,male,,0,0,49.22,Q,0
2,female,,0,1,49.27,S,0
2,male,7.6,0,0,78.17,S,0
3,female,48.0,0,0,25.55,S,0
1,male,21.7,0,0,98.42,S,1
1,male,66.8,0,1,76.1,S,1
2,male,21.5,2,2,49.42,S,0
1,female,32.4,0,0,67.59,S,0
3,female,52.1,0,0,80.15,S,0
3,female,,0,1,26.36,C,0
3,female,59.6,0,0,29.0,S,1
3,female,47.2,0,0,32.69,S,0
3,female,44.5,0,0,42.43,S,1
1,male,38.3,1,0,79.17,S,1
3,male,41.0,0,2,27.42,S,0
3,male,21.7,0,2,31.16,S,1
3,female,17.8,0,0,29.91,S,0
3,female,29.7,0,0,29.32,C,1
2,male,27.2,0,1,54.53,S,0
1,female,23.1,1,0,86.92,S,1
1,female,39.8,0,0,69.41,S,0
2,male,43.6,0,2,53.22,Q,0
3,male,31.0,0,0,33.92,S,0
3,female,51.1,0,0,92.48,S,0
1,male,13.1,0,0,120.69,S,0
3,female,,1,1,53.98,S,1
2,male,,0,0,49.98,S,0
1,female,2.6,1,0,66.27,S,1
1,female,,0,0,71.86,Q,1
2,female,27.9,1,0,50.59,Q,0
3,male,51.6,0,1,37.69,S,0
2,female,38.8,0,0,72.07,S,1
3,female,14.8,0,0,60.18,Q,0
3,male,56.6,2,0,58.54,S,0
2,female,47.4,0,2,53.02,S,0
3,male,38.1,0,0,45.92,S,0
3,male,26.4,0,2,31.75,S,0
2,male,,1,0,46.13,S,0
3,male,24.3,0,1,46.77,S,0
2,male,45.5,1,1,45.18,S,1
2,female,,0,0,54.47,S,1
1,male,52.1,0,2,72.19,S,0
3,female,22.6,0,0,46.28,S,0
3,male,13.5,3,0,51.16,C,0
1,male,31.7,0,0,71.53,S,1
2,male,4.1,2,0,75.05,S,0
3,female,34.4,0,0,31.26,Q,1
1,male,27.6,0,0,75.64,Q,0
1,male,22.9,0,0,88.37,S,1
3,female,6.6,0,0,46.25,S,1
3,male,37.1,1,0,103.69,C,0
2,male,22.0,2,0,49.59,C,0
3,male,12.7,1,0,44.54,Q,0
3,female,,1,0,41.93,C,1
1,male,29.3,0,0,109.39,S,0
3,female,55.4,0,0,28.06,S,0
2,male,53.8,3,0,70.08,S,1
3,female,23.1,0,1,40.12,S,1
3,female,21.0,1,2,30.78,S,0
3,female,36.5,1,0,36.58,S,1
1,male,15.2,0,0,72.31,S,1
3,female,34.1,4,2,40.59,C,0
2,male,40.8,0,1,84.57,S,0
1,male,47.5,0,0,80.16,S,0
1,male,28.2,0,2,82.98,S,1
3,female,26.7,0,0,38.16,S,1
3,female,17.0,0,0,25.95,C,0
1,female,,0,0,69.77,S,1
3,male,26.4,1,0,37.19,Q,0
1,male,,2,0,71.69,S,0
3,female,42.9,0,0,28.61,S,1
1,male,18.1,0,0,77.63,S,0
3,male,51.3,2,1,32.02,S,0
2,male,25.8,0,1,50.37,C,0
3,male,29.4,0,0,36.22,S,1
1,male,,0,1,67.57,C,1
2,male,1.0,0,1,92.3,S,0
1,male,42.5,0,1,101.41,C,1
3,male,40.4,3,0,47.13,S,0
3,female,,0,0,27.02,C,1
2,male,30.7,0,2,71.92,S,0
3,male,,0,0,54.7,S,0
3,female,7.0,0,0,51.28,S,0
3,male,22.0,0,0,27.18,Q,0
3,female,41.2,1,0,43.59,S,1
2,female,11.5,1,0,77.36,S,1
1,male,34.0,0,0,80.5,C,0
3,male,10.0,1,0,43.71,S,1
3,female,36.5,1,1,36.04,S,0
3,female,29.2,1,1,38.54,S,0
2,male,6.3,0,0,45.63,S,0
2,male,46.6,0,2,63.34,Q,0
3,male,19.0,0,0,26.53,C,1
3,female,18.0,0,0,35.28,S,0
3,male,32.6,0,0,31.23,Q,0
3,female,,0,1,39.19,S,1
3,male,15.0,1,2,27.58,S,0
1,male,30.6,1,0,86.18,S,1
1,male,35.9,1,1,93.53,S,0
3,male,39.8,0,0,28.21,S,1
3,male,32.3,1,0,26.98,Q,0
1,male,24.4,0,0,67.83,C,0
1,male,17.7,0,0,102.74,S,0
3,female,30.9,0,0,38.52,S,1
1,male,14.2,0,1,76.34,C,0
1,male,1.0,0,0,67.03,Q,0
3,female,36.0,1,0,43.87,C,0
3,female,42.8,0,0,61.45,S,1
3,female,1.0,1,0,56.7,C,1
1,female,15.1,0,1,82.71,S,1
3,male,38.7,0,0,26.41,S,0
1,male,59.5,0,0,67.15,S,1
2,female,,0,1,45.91,S,1
3,female,19.1,0,0,30.36,S,1
3,male,27.0,0,0,27.62,S,0
3,female,49.6,0,0,30.42,S,0
3,male,20.3,0,0,33.75,C,0
3,male,18.1,0,0,76.56,S,0
1,male,22.7,1,0,81.97,S,1
2,male,15.9,0,1,77.43,S,1
2,male,,1,1,67.3,Q,0
2,male,,0,0,47.15,S,0
3,female,,2,0,48.97,S,0
2,male,,1,1,50.79,S,0
3,male,,0,0,43.35,C,0
3,female,7.0,0,0,32.51,Q,0
3,female,42.5,1,0,134.13,S,0
3,female,28.6,0,1,30.51,S,0
3,female,27.1,0,0,30.89,C,1
3,female,76.0,0,0,73.04,S,0
1,male,34.0,1,0,65.45,S,0
3,male,,1,1,46.47,S,0
2,male,23.5,0,0,68.26,S,0
1,male,,0,2,97.58,S,1
3,male,31.3,0,0,91.0,S,1
1,female,8.8,0,0,131.84,S,1
3,male,43.0,4,0,26.22,Q,0
3,male,20.0,0,0,56.05,S,0
3,male,56.9,0,2,43.71,C,0
2,female,,0,0,63.76,S,0
1,male,23.2,1,1,67.47,S,0
3,female,48.3,0,0,43.91,S,1
2,male,30.7,0,0,117.8,Q,0
3,male,42.1,0,0,68.71,C,0
3,male,,0,0,35.41,S,0
3,female,17.4,0,2,25.73,C,0
2,male,20.4,0,0,53.1,S,0
2,female,44.6,0,0,76.52,Q,1
3,male,24.8,2,0,46.76,S,0
2,male,23.8,1,0,56.07,Q,0
1,female,,4,0,66.02,S,1
3,female,35.8,0,1,35.02,S,1
3,female,,3,0,36.39,S,0
3,female,14.2,0,0,72.5,S,0
3,female,30.1,0,0,43.44,S,0
1,female,50.2,0,2,71.72,S,1
3,female,28.5,0,0,38.41,S,0
3,female,36.3,1,0,26.23,S,1
